PCM_LOCATION,PCM_NUMBER,PCM_SHEET,PCM_REV,PCM_COMMENTS
P23,146U9410,7,DASH,SENT TO LAMINATED SHIM'S 9-30-8  (M.A.)
P24,148U5511,33,DASH,
P25,146U9328,2,A,
P26,140U9131,10,DASH,
P27,284T0832,1,A,
P28,284T0832,2,DASH,
P29,284T0832,3,DASH,
P30,287W4613,5,A,
Q1,65B08300,32,DASH,
Q2,140U0061,958,DASH,
Q3,814U2850,13,DASH,
Q4,65B08301,42,DASH,
Q5,287T1030,53,DASH,
Q6,140U0520,852,B,
Q7,65B08301,44,DASH,2 SEGMENTS
Q8,65B08301,47,A,
Q9,65B71342,2,DASH,
Q10,65B08302,23,A,
Q11,5HW82395,7,AG,
Q12,OPEN,,,
Q13,66-5143,1,REV C,
Q14,174A1301,3,DASH,
Q15,65B08302,40,A,
Q16,65B08302,42,A,2 SEGMENTS
Q17,65B08302,49,DASH,
Q18,823A1609,9,DASH,
Q19,287W4510,3,DASH,
Q20,65B08301,39,DASH,
Q21,233T3309,2,DASH,
Q22,146U1024,7,DASH,
Q23,30-02925,1,D,
Q24,146U9313,5,DASH,
Q25,146U9313,7,DASH,
Q26,146U9313,12,B,
Q27,453T7024,5,A,
Q28,141U1719,29,DASH,
Q29,144U4631,2,DASH,
Q30,146U9310,1,DASH,
R1,65B08302,15,A,
R2,141U5324,15,DASH,2 SEGMENTS
R3,65B08302,50,DASH,
R4,453U4164,35,A,
R5,287W1520,1,B,2 SEGMENTS
R6,287W1520,2,B,
R7,287W1520,3,C,
R8,65B08301,48,A,
R9,65B08301,49,DASH,
R10,65B08301,50,DASH,
R11,65B08301,54,DASH,
R12,141W0132,8,DASH,
R13,65B08301,55,DASH,
R14,174A1301,4,DASH,
R15,65B08301,56,DASH,
R16,69B54754,2,DASH,
R17,65B08301,26,DASH,
R18,65B08301,28,A,
R19,143T1078 ,45,REV -,
R20,143W3884,1,DASH,
R21,140U2193,1,DASH,
R22,146U9312,5,DASH,
R23,146W9415,4,DASH,
R24,146U9415,7,DASH,
R25,146U9312,9,DASH,
R26,140U2201,1,DASH,
R27,140U2202,1,DASH,
R28,413U4123,3,DASH,
R29,146U9415,1,DASH,
R30,146U9415,9,DASH,
S1,OPEN,,,
S2,OPEN,,,
S3,OPEN,,,
S4,5-96291,2,REV C,
S5,272U9505,11,DASH,
S6,213A6401,1,DASH,
S7,215N1003,1,D,
S8,5-95519,2,A,
S9,213A6402,2,A,
S10,146U1323,120,DASH,
S11,287T4505,24,DASH,
S12,5-88197,3,REV -,
S13,OPEN,,,
S14,174A1301,6,DASH,MYLAR - 65B07618 SHT 14 (AT REV k)
S15,65B08302,52,DASH,
S16,146T5317,1,DASH,
S17,213A6402,1,A,
S18,149W1920,1,K,
S19,143W3862,1,A,
S20,144U4631,1,DASH,
S21,69B01326,2,B,
S22,5-88497,2,REV L,
S23,5-96292,2,B,
S24,214U4403,8,A,
S25,5-95516,2A,A,
S26,765-12265,1,A,
S27,148U5511,27,DASH,
